Operator	Description	                                        Example	    Result
==	        Equal to (value only, performs type coercion)	    5 == "5"	true
===	        Strict equal to (value and type)	                5 === "5"	false
!=	        Not equal to (value only, performs type coercion)	5 != "5"	false
!==	        Strict not equal to (value and type)	            5 !== "5"	true
>	        Greater than	                                    10 > 5	    true
<	        Less than	                                        5 < 10	    true
>=	        Greater than or equal to	                        10 >= 10	true
<=	        Less than or equal to	                            5 <= 10	    true
